REGION,ACTIVIDAD_ECONOMICA,n_accidentes,tasa_permanente,prop_masculino,prop_operario,diversidad_formas,concentracion_forma,log_accidentes,unidad,cluster,PC1,PC2,cluster_dbscan
CAJAMARCA,ADMINISTRACIÎ PLICA Y DEFENSA,154,12.337662337662337,71.42857142857143,67.53246753246754,9,29.87012987012987,2.187520720836463,ADMINISTRACIÎ PLICA Y · CAJAMARCA,0,-0.3564353602003691,-0.5730250720622984,0
CAJAMARCA,"COMERCIO AL POR MAYOR Y AL POR MENOR, REP. VEHC. AUTOM.",67,5.970149253731343,74.6268656716418,26.865671641791046,9,26.865671641791046,1.8260748027008264,COMERCIO AL POR MAYOR  · CAJAMARCA,0,-0.775868996902274,-0.574916434955616,0
CAJAMARCA,CONSTRUCCIÎ,114,11.403508771929824,97.36842105263158,53.50877192982456,10,27.192982456140353,2.0569048513364727,CONSTRUCCIÎ · CAJAMARCA,0,-0.8631072733842409,0.5715443096205682,0
CAJAMARCA,EXPLOTACIÎ DE MINAS Y CANTERAS,135,2.2222222222222223,96.29629629629629,51.85185185185185,10,53.333333333333336,2.130333768495006,EXPLOTACIÎ DE MINAS Y  · CAJAMARCA,0,0.13354725817682087,0.15258242730414256,0
CAJAMARCA,INDUSTRIAS MANUFACTURERAS,53,15.09433962264151,86.79245283018868,58.490566037735846,8,20.754716981132077,1.724275869600789,INDUSTRIAS MANUFACTURE · CAJAMARCA,0,-0.915859193274841,0.2285811217732851,0
CALLAO,"ACTIVIDADES INMOBILIARIAS, EMPRESARIALES Y DE ALQUILER",1939,40.33006704486849,82.61990716864364,14.182568334192883,10,59.77307890665291,3.2875778090787056,ACTIVIDADES INMOBILIAR · CALLAO,1,1.9939105557409458,0.46884819435926467,0
CALLAO,ADMINISTRACIÎ PLICA Y DEFENSA,119,74.78991596638656,42.016806722689076,10.084033613445378,9,83.19327731092437,2.0755469613925306,ADMINISTRACIÎ PLICA Y · CALLAO,1,4.92726836513048,-0.5953866527679391,-1
CALLAO,"COMERCIO AL POR MAYOR Y AL POR MENOR, REP. VEHC. AUTOM.",1452,45.04132231404959,87.32782369146005,11.983471074380166,10,65.633608815427,3.161966616364075,COMERCIO AL POR MAYOR  · CALLAO,1,2.3940333669874563,0.7653793928809135,0
CALLAO,CONSTRUCCIÎ,410,29.268292682926827,96.58536585365853,16.585365853658537,10,55.60975609756098,2.6127838567197355,CONSTRUCCIÎ · CALLAO,1,1.2082235206602547,0.8339173887119086,0
CALLAO,HOTELES Y RESTAURANTES,80,28.749999999999996,75.0,12.5,9,63.74999999999999,1.9030899869919435,HOTELES Y RESTAURANTES · CALLAO,1,1.8799452371199032,-0.18283497194718623,0
